Title,Author,Room,Image,1,2,3,audio description,description
Giove ed Europa,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,000.png,,,,000.mp3,"Tintoretto dipinse il ciclo di sedici soggetti dalle Metamorfosi di Ovidio a partire dal 1541, su commissione del conte Vettore Pisani, banchiere veneziano che, in occasione del matrimonio con Paolina Foscari, del 1542, volle decorare il soffitto della sua stanza da letto nel Palazzo San Paterniano a Venezia. Nel 1658 gli eredi del conte vendettero al duca Francesco I d’Este le tavole che furono poi inserite nel soffitto ligneo della seconda camera da parata del Palazzo Ducale di Modena. In questo passaggio andarono perdute due tavole. E’ la prima importante impresa decorativa del giovane Tintoretto che per i soggetti utilizzò la versione in volgare delle Metamorfosi di Niccolò degli Agostini, edita a Venezia nel 1522. I gesti, gli scorci arditi, la luce drammatica, i colori accesi caratterizzano questi dipinti che, nelle anatomie e nelle pose mostrano l’influsso dello stile di Michelangelo ma anche di Giulio Romano e dei suoi affreschi nel Palazzo Te a Mantova, dove Tintoretto potrebbe essersi recato intorno a 1540."
Nerone davanti al corpo di Agrippina,Ferrari Luca detto Luca da Reggio (Reggio Emilia  1599 - Padova  1654),21,001.png,,,,001.mp3,"Eseguito intorno alla metà degli anni Quaranta del Seicento, come l’opera compagna raffigurante La regina Tomiri con la testa di Ciro (inv. 413), il dipinto è entrato nelle collezioni ducali poco prima del 1854, anno in cui vi è registrato per la prima volta. Non è nota la sua provenienza, probabilmente da una collezione privata emiliana o veneta.
A lungo inteso come una Morte di Cleopatra, il raro soggetto raffigura invece lo sbigottimento dell’imperatore Nerone dinanzi al corpo ancora avvenente della madre Agrippina, da lui stesso fatta uccidere (Tacito, Ann. XIV). È un raffinato esempio del talento del pittore per simili tele da cavalletto, dove il soggetto è inteso come espediente per presentare scene o “mezze figure” ricche di dettagli preziosi e caratterizzate da un cromatismo florido, da una forma ampia e da un dipingere lento e voluttuoso."
Minerva,Venturini Gaspare (Ferrara  notizie dal 1576 al 1593),20,002.png,,,,002.mp3,Descrizione non disponibile
La circoncisione di Gesù,Procaccini Giulio Cesare (Bologna  1574 - Milano  1625),22,003.png,,,,003.mp3,"Le dimensioni colossali di questo dipinto si spiegano con la sua originaria funzione di pala dell’altare maggiore della chiesa di San Bartolomeo a Modena. All’inizio del Seicento questa era la chiesa officiata dai Gesuiti, e l’opera descrive un tema iconografico tipico della Compagnia, ovvero l’imposizione del nome al piccolo Gesù durante il rito della circoncisione. Si tratta del capolavoro di Giulio Cesare Procaccini, che per il vorticoso dinamismo e l’enfasi retorica trova riferimenti in Rubens e nella nascente pittura barocca."
Cristo portacroce tra i santi Girolamo e Agostino,Bernardo Parentino o Parenzano (Parenzo  1450 ca. - Mantova post 1496),9,004.png,,,,004.mp3,"Unica opera firmata del pittore nativo di Parenzo, in Istria, ma attivo a Mantova e a Padova nella seconda metà del Quattrocento, la tela presenta evidenti caratteri mantegneschi nella minuziosa descrizione del paesaggio e nella ricerca di difficili scorci prospettici. Il severo formalismo di Mantegna è però interpretato dall’istriano con una vena calligrafica e bizzarra che lo avvicina ai pittori ferraresi e bolognesi suoi contemporanei, come il giovane Ercole de’ Roberti e Marco Zoppo."
La Carità romana,Regnier Nicolas detto Nicola Renieri (Maubeuge  1591 Venezia  1667),21,005.png,,,,005.mp3,"Secondi gli antichi repertori di exempla, un uomo di nome Cimone (o Micone), condannato a morire di inedia in carcere, venne allattato clandestinamente dalla figlia Pero (o Xanthippe) che si recava a visitarlo. Il soggetto conobbe molta fortuna nella pittura del Seicento, anche grazie al possibile riferimento alle virtù cristiane del nutrire gli affamati e visitare i carcerati. Il dipinto rivela l’altissima qualità della pittura di Régnier nella sua fase matura e di orientamento più classicista, quando visse a Venezia e fu anche mercante d’arte."
Madonna col Bambino in trono fra angeli,Simone di Filippo Benvenuti detto Simone dei Crocifissi (Bologna  1330 ca. - 1399),3,006.png,,,,006.mp3,Descrizione non disponibile
Sposalizio della Vergine,Schedoni Bartolomeo (Modena  1570 ca. - Parma  1615),20,007.png,,,,007.mp3,"Poco dopo l’abbandono di Ferrara, il duca Cesare d’Este decise di decorare una cappella dell’antico castello di famiglia di Modena, dedicata alla Natività della Vergine. Vista l’impossibilità di commissionarne le tele a Federico Barocci e poi ad Annibale Carracci e Caravaggio, prime ambiziose scelte, il duca ripiegò su più affidabili maestri locali: Scarsellino, Ercole Dell'Abate e Bartolomeo Schedoni. Ne risultò un trittico (invv. 2, 83, 420) elaborato in maniera non coordinata, ma comunque caratterizzato da una vivace impronta narrativa per le molte figure affaccendate che interpretano le tre storie mariane."
Madonna col Bambino tra i santi Giorgio e Michele Arcangelo,Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,008.png,,,,008.mp3,"Nella pala, forse il suo più bel dipinto di soggetto sacro, Dosso opera una sintesi originale fra la pittura veneta e quella tosco-romana. Lo splendore del colore, in particolare nelle vesti e nelle ali dell’arcangelo, e gli effetti di lume sull’armatura di san Giorgio mostrano infatti come Dosso guardasse da un lato alle opere di Tiziano; dall’altro, le vigorose figure della Madonna e del san Michele, atteggiato nella posa del contrapposto, indicano come egli fosse aggiornato sulle più recenti opere di Raffaello."
San Francesco di Paola abbraccia il crocifisso,Stern Ignazio detto Ignazio Stella (Mariahilf  Passavia  1680 ca. - Roma  1748),22,009.png,,,,009.mp3,"La qualità di questo dipinto sta tutta nella morbida fusione del colore e nel disegno elegantissimo. Attingendo a una lunga tradizione italiana, dal Correggio, a Parmigianino, a Carlo Cignani, Stern giunse a formulare un linguaggio improntato a dolcezza espressiva e sensualità. San Francesco di Paola appare sotto una luce innaturale entro uno spazio indistinto, come in una visione onirica. Una voce assai originale rispetto al linguaggio artistico dominante in Romagna e a Roma, cioè nei luoghi dove Stern si formò e visse."
Cattura di Cristo,Cavedone Giacomo (Sassuolo  1577 - Bologna  1660),21,010.png,,,,010.mp3,"La tela venne acquistata dal Ministero per i Beni Culturali e Ambientali nel 1996 su richiesta della Soprintendenza per i beni artistici e storici di Modena e Reggio Emilia. Già nota agli studiosi fin dal 1930 quando fu segnalata nella collezione Rosselli Del Turco a Bologna. Roli ne sottolineava gli elementi caravvageschi, certamente frutto del viaggio a Roma del Cavedone quale aiuto del Reni negli affreschi del Quirinale, ipotizzandone la realizzazione nell'immediato ritorno in Emilia dalla città papale intorno al 1610. Cristo al centro viene catturato dopo il tradimento di Giuda. Alla sua destra e alla sua sinistra i soldati, in primo piano sulla destra un giovane sta per essere colpito da una spada brandita da un uomo calvo e barbuto più anziano. Intorno e sullo sfondo si agitano molti personaggi dalla diversa gestualità."
